,0
0,11265.029950580927
1,8712.517501435219
2,13976.17925327873
3,1924.1373404176684
4,18978.61510833428
5,1606.0326420248125
6,1043.635190683592
7,534.9482097912263
8,1614.579223356372
9,59.854675447422764
10,5971.370924988468
11,2594.2917937288694
12,12015.6013966286
13,2133.001887285675
14,12378.48591576762
15,665.6481476260047
16,88.42088991616009
17,1090.030901093333
18,21773.393045932986
19,10.152384517987722
20,853.2786761949145
21,58.12250941938225
22,834.9608962548947
23,863.3245350718691
24,18.082840300177867
25,1626.783058629976
26,509.609850563035
27,9481.802000120571
28,12.01532699507688
29,586.3745448919905
30,1142.940123889166
31,298.38284746963836
32,754.1402050823197
33,2697.581844784646
34,74.24471828285134
35,958.9147705882664
36,211.01415207028342
37,707.2124392741839
38,257.08616116086444
39,252.7970697672646
40,2190.9416155351514
41,2073.816553829706
42,532.397566885154
43,55.844973352024496
44,50.06465797585318
45,2386.6142629035053
46,2185.7277119571913
47,911.9538577401614
48,2840.0989127070097
49,12961.694559100786
50,14411.794371186064
51,272.8195778579744
52,4034.238887011798
53,2590.1146348199964
54,12013.01002733172
55,3717.2125244220515
56,160.64422794806978
57,218.8980682358629
58,13214.560186548859
59,240.07555687254086
60,285.0148087101978
61,3838.626804521183
62,2623.2670962462794
63,222.48979051987934
64,7052.415054229149
65,18839.22148922431
66,5013.068586341394
67,70.86766341167151
68,195.6220256588782
69,3262.6475524501384
70,1251.2837885148363
71,472.7536233092422
72,2534.1091405668553
73,128.69802763561498
74,1333.1410283999294
75,5411.227532148198
76,75.1299190242821
77,31.036040856279293
78,1411.1101652712346
79,2542.404022442404
80,2253.1643823829513
81,4285.5003099257265
82,1739.138836307624
83,558.4926349700784
84,103.94198496284714
85,19763.665287311134
86,589.2990604715477
87,1258.3642551244761
88,405.54345880982476
89,323.8506840504465
90,2583.744554312066
91,9942.834158728363
92,6331.320433214248
93,52.49787298975663
94,27.29832341636346
95,3403.344453215121
96,1045.45689206063
97,26970.790592691214
98,3160.441945849466
99,3132.070042394922
100,616.249847327262
101,48154.5813341077
102,2987.3269075143407
103,387.4563147779737
104,5286.140591095208
105,8.906463214967815
106,556.9948375810529
107,691.5560531663095
108,1150.6657819917891
109,84460.09943361235
110,17239.8869710878
111,565.5844731303259
112,356.5974247894151
113,5392.7103132868315
114,1320.750854687024
115,2405.532619006064
116,1585.0810933465293
117,898.3140453765203
118,389.49857630985036
119,148.43952268123633
120,2525.2145145926715
121,2278.82024780898
122,3345.2147745676257
123,3219.5756680772356
124,2013.8801156474292
125,1553.210069728208
126,106.91517735346766
127,383.18401928943433
128,5409.74759846493
129,208.1138288161388
130,376.54176856066977
131,717.7328041328744
132,1686.1372797355077
133,1693.1916662298042
134,161.06710704222445
135,404.10122955240087
136,2175.9078525002624
137,23991.750318873394
138,1244.7606049566195
139,1375.8473951682834
140,345.17403359578816
141,6258.350455738152
142,538.0122913598246
143,1015.9636997807114
144,265.2953963154116
145,8716.005731463883
146,948.7928263671059
147,20566.189715914432
148,5394.678941638765
149,598.6110362996336
150,1284.0759510362257
151,752.4563815969174
152,793.1158330127196
153,1612.12996318735
154,2403.4673677847513
155,1274.6248954354132
156,364.83791916348736
157,137.3813703388028
158,1782.0187750541095
159,151.30028303734602
160,5200.881300500147
161,679.4155571885449
162,4372.1519477122765
163,14595.232065708084
164,4645.152652439295
165,510.6815831966191
166,1756.2971222121937
167,9815.721653660283
168,1522.1293022552964
169,860.3000754001481
170,7206.922627233225
171,3024.2000705510586
172,222.82934056665172
173,6392.95884465161
174,5894.487253592241
175,6968.938570879936
176,4894.132658253607
177,835.9157640320003
178,9131.321457250819
179,130.8817886761875
180,7813.845247164266
181,2105.9913571032303
182,5393.172075339416
183,1934.1847914789078
184,881.5480693952203
185,4105.7684173235575
186,132.10045768757118
187,679.0802265721792
188,1860.828118489444
189,2449.287494067536
190,147072.69972147045
191,610.6307398219717
192,284.99735187676475
193,809.7116557270901
194,147.15577744358754
195,111.86072707224106
196,885.3775085229935
197,1264.703326973249
198,2538.24305426803
199,364.66756509228367
200,126.60082659982427
201,519.3914731828268
202,327.5559383067467
203,432.4678369918805
204,3146.1922401925003
205,381.60755969979465
206,847.9256673903601
207,1159.3900015002262
208,8756.744434609174
209,368.1797307569611
210,414.39196956347234
211,552.4780374495085
212,2921.448276085939
213,226.89346497563798
214,12111.493567033482
215,1795.3552512322597
216,60122.88309340767
217,13877.844572224918
218,1547.020950070876
219,7051.444445748122
220,141971.80920794155
221,1136.9896837305969
222,2257.6752395285375
223,6361.913655735222
224,2206.136910893168
225,31.59963175461082
226,348.2303382837396
227,1160.3008526830345
228,803.3945266202261
229,135.42075208976715
230,929.2056909294351
231,200.07942671785153
232,2424274.027576306
233,4210.608042079107
